dimethicone,poly(dimethylsiloxane)
dimethiconol,Dihydroxy(dimethyl)silane
c12-15 alkyl benzoate,Benzoic acid
cocos nucifera (coconut) oil,(1-Decanoyloxy-3-octanoyloxypropan-2-yl) dodecanoate
hydrolyzed milk protein,
albumen,"5,5-dimethyl-2,4-dioxo-1,3-oxazolidine-3-carboxamide"
glycerin,glycerin
water (aqua),water
